title,category,slug,tutorial_view,py_view,py_download,r_view,r_download,m_view,m_download,description,py_img,r_img,m_img
Multi-Sensor chlorophyll time series analysis for Lake Erie,Time Series,gl-timeseries-chloro-from-diff-sensors,gl-timeseries-chloro-from-diff-sensors,gl-timeseries-chloro-from-diff-sensors/python/,tutorials/gl-timeseries-chloro-from-diff-sensors/python/gl-timeseries-chloro-from-diff-sensors.ipynb,,,,,"Analyze long-term changes in lake chlorophyll concentrations by combining satellite observations from multiple sensors. This tutorial demonstrates how to download chlorophyll-a data from ERDDAP for Lake Erie, process daily observations from MODIS (2002–2017) and VIIRS (2018–2023), and compute spatially averaged monthly and daily time series. The workflow shows how to handle fill values, aggregate data across space and time, and visualize chlorophyll variability across the sensor transition. By merging MODIS and VIIRS records, the tutorial provides a practical approach for creating a continuous multi-sensor time series to support long-term water quality analysis in the Great Lakes.","chl_gl1.png::Monthly mean chlorophyll-a concentration across Lake Erie for August 2009, illustrating the spatial distribution of phytoplankton biomass derived from satellite observations. | chl_gl2.png::Spatially averaged monthly chlorophyll-a time series for Lake Erie from 2002–2017, showing seasonal variability and interannual changes captured by the MODIS sensor. | chl_gl3.png::Daily spatially averaged chlorophyll-a concentrations for Lake Erie in 2023, highlighting short-term variability and bloom dynamics observed by the VIIRS sensor.",,
Long-term lake surface temperature variability from Great Lakes Satellite Records,Time Series,gl-timeseries-surface-temp,gl-timeseries-surface-temp,gl-timeseries-surface-temp/python/,tutorials/gl-timeseries-surface-temp/python/gl-timeseries-surface-temp.ipynb,,,,,"Analyze long-term patterns in Great Lakes water surface temperature using lakewide satellite-derived averages. This tutorial demonstrates how to retrieve daily average surface temperature data from ERDDAP, assemble a multi-year record spanning 2007 to the present, and visualize seasonal temperature variability across years. Daily temperature records are aligned by day of year to highlight the warmest, coldest, and average conditions for a given date, with the current year shown in context of the historical record. Using Great Lakes Surface Environmental Analysis (GLSEA) satellite products, the workflow illustrates how long-term lake temperature climatologies can be used to assess seasonal extremes and interannual variability across the Great Lakes.","timeseries_gl.png::Seasonal evolution of Lake Michigan average surface water temperature from 2007–2024, showing the current year in context of the long-term mean and highlighting the historically warmest and coldest years for the selected calendar day based on GLSEA satellite records.",,
Visualizing JPSS Sea Ice Concentration products using Google Colab,Time Series,jpss-projects,jpss-projects,jpss-projects/python/,tutorials/jpss-projects/python/sport-jpss-seaice.ipynb,,,,,"Visualize polar sea ice conditions by converting JPSS Sea Ice Concentration files into mapped images for quick inspection and reporting. This tutorial demonstrates how to obtain either Level-2 swath VIIRS ice concentration data or Level-3 daily gridded blended sea ice concentration products, load them into an analysis environment, and generate publication-ready maps for the Arctic or Antarctic. The workflow resamples swath observations onto a common polar grid when needed, applies consistent color scaling in percent ice concentration, and exports the final figures as PNGs.","jpss_tut.png::Blended JPSS sea ice concentration for the Arctic on October 5, 2024, showing the spatial extent and intensity of ice cover derived from combined satellite observations and mapped onto a polar projection with ice concentration expressed as percent.",,
Long Island Sound Chlorophyll-a Dynamics,Time Series,lis-chlora-dynamics,lis-chlora-dynamics,lis-chlora-dynamics/python/,tutorials/lis-chlora-dynamics/python/lis-chlora-dynamics.ipynb,lis-chlora-dynamics/r/,tutorials/lis-chlora-dynamics/r/lis-chlora-dynamics.Rmd,,,"Analyze seasonal and spatial patterns in coastal chlorophyll-a by working with daily satellite observations from Long Island Sound. This tutorial demonstrates how to download chlorophyll-a data from ERDDAP, generate temporal composites at monthly and 8-day intervals, and subset the data to compare regional variability within the Sound. The workflow illustrates how to examine gridded satellite datasets, compute spatial averages, and visualize chlorophyll dynamics through maps and time-series plots. Chlorophyll-a data from Sentinel-3 OLCI, processed with Long Island Sound–optimized algorithms, are used to highlight differences between western and eastern regions and to explore seasonal water-quality variability in a complex coastal environment.","lis1_py.png::Monthly mean chlorophyll-a concentrations in Long Island Sound during 2022, illustrating the seasonal evolution of phytoplankton biomass derived from daily Sentinel-3 OLCI observations. | lis2_py.png::Spatial distribution of mean chlorophyll-a concentration in Long Island Sound averaged over January–December 2022, highlighting persistent regional gradients across the estuary. | lis3_py.png::Eight-day averaged chlorophyll-a time series comparing western and eastern Long Island Sound, showing contrasting seasonal cycles and peak bloom timing during 2022.","lis1_r.png::Monthly mean chlorophyll-a concentrations in Long Island Sound during 2022, illustrating the seasonal evolution of phytoplankton biomass derived from daily Sentinel-3 OLCI observations. | lis2_r.png::Spatial distribution of mean chlorophyll-a concentration in Long Island Sound averaged over January–December 2022, highlighting persistent regional gradients across the estuary. | lis3_r.png::Eight-day averaged chlorophyll-a time series comparing western and eastern Long Island Sound, showing contrasting seasonal cycles and peak bloom timing during 2022.",
Map geographical and polarstereographic data on a projected map,Spatial Analysis & Mapping,map-data-with-different-projections,map-data-with-different-projections,map-data-with-different-projections/python/,tutorials/map-data-with-different-projections/python/map-data-with-different-projections.ipynb,map-data-with-different-projections/r/,tutorials/map-data-with-different-projections/r/map-data-with-different-projections.Rmd,,,"Plot polar satellite data correctly by working across coordinate systems and projections. This tutorial demonstrates how to access polar sea ice concentration data from an ERDDAP server, interpret the dataset’s polar stereographic metadata (or EPSG code), and display the gridded x–y product on a matching projected basemap. It then shows how to overlay a second dataset provided in geographic coordinates (latitude/longitude) here, polar bear GPS tracks by transforming those points into the same map projection for direct visual comparison with the sea ice field.",mapproj_1.png::Sea ice concentration from the NOAA/NSIDC Climate Data Record is displayed on a North Polar Stereographic map using the dataset’s native EPSG:3411 projection. | mapproj_2.png::Monthly sea ice concentration is shown on a polar stereographic basemap with overlaid polar bear GPS locations in latitude–longitude coordinates.,"mapping_seaice-1.png::Sea ice concentration from the NOAA/NSIDC Climate Data Record is displayed on a Polar Stereographic projection, illustrating how gridded polar satellite data are mapped in projected x–y coordinates. | mapping_seaice-2.png:: Sea ice concentration mapped on a Polar Stereographic projection with polar bear GPS tracks overlaid.",
Mask shallow pixels for satellite ocean color datasets,Spatial Analysis & Mapping,mask-shallow-ocean-color,mask-shallow-ocean-color,,,mask-shallow-ocean-color/r/,tutorials/mask-shallow-ocean-color/r/mask-shallow-ocean-color.Rmd,,,"Remove optically shallow-water contamination from satellite ocean color data to improve the accuracy of derived biogeochemical metrics. This tutorial demonstrates how to download bathymetry and monthly chlorophyll-a data from ERDDAP, quantify the fraction of shallow water within each ocean color pixel, and construct a threshold-based mask to exclude pixels affected by bottom reflectance. The masked and unmasked datasets are then used to compute and compare long-term chlorophyll-a climatologies. By combining high-resolution bathymetry with coarse-resolution ocean color observations, the workflow illustrates a practical approach for preparing satellite datasets for robust analysis in coastal and reef-adjacent regions.",,"shallowpixels1.png::High-resolution ETOPO bathymetry for the Oʻahu region showing depth contours used to distinguish optically shallow and deep waters. | shallowpixels3.png::Percentage of shallow water (<30 m depth) contained within each coarse-resolution ocean color pixel, calculated by matching bathymetry to the chlorophyll grid. | shallowpixels4.png::Binary mask identifying ocean color pixels dominated by shallow water based on a user-defined shallow-area threshold. | shallowpixels6.png::Log-scaled chlorophyll-a climatology after applying the shallow-water mask, illustrating the removal of bottom-contaminated coastal pixels.",
Matching polar data to animal track locations,Spatial Analysis & Mapping,matchup-polar-data-to-animal-track-locations,matchup-polar-data-to-animal-track-locations,matchup-polar-data-to-animal-track-locations/python/,tutorials/matchup-polar-data-to-animal-track-locations/python/matchup-polar-data-to-animal-track-locations.ipynb,matchup-polar-data-to-animal-track-locations/r/,tutorials/matchup-polar-data-to-animal-track-locations/r/matchup-polar-data-to-animal-track-locations.Rmd,,,"Extract and analyze satellite sea ice conditions along animal movement tracks in polar regions. This tutorial demonstrates how to combine satellite sea ice concentration data with animal telemetry observations to examine environmental conditions encountered along a tracked path. Using monthly sea ice concentration records from NOAA PolarWatch, the workflow shows how to subset gridded satellite data in polar stereographic coordinates, align it temporally and spatially with penguin telemetry locations, and extract coincident sea ice values along the track. The tutorial also illustrates how to visualize animal movement overlaid on sea ice maps and how to generate matched time series of satellite-derived sea ice concentration at each observation point.","polartracks1.png::Monthly Antarctic sea ice concentration from the NOAA/NSIDC Climate Data Record is shown on a south polar stereographic map for the first available timestep. | polartracks2.png::Monthly sea ice concentration maps for January, February, and March are overlaid with Adelie penguin telemetry tracks. | polartracks3.png::Penguin track locations are colored by collocated sea ice concentration values extracted from the satellite dataset.","polartracks1_r.png::Monthly sea ice concentration from the NOAA/NSIDC Climate Data Record is mapped for the first available time step to illustrate the polar stereographic satellite grid used for Antarctic matchups. | polartracks2_r.png::The Adelie penguin telemetry track is plotted in geographic coordinates, highlighting the start and end points used to extract satellite sea ice values along the animal’s path. | polartracks3_r.png::The penguin track is colored by the extracted monthly sea ice concentration at each location and date, showing how satellite conditions are sampled along a moving trajectory in Antarctica.",
Matching satellite and buoy surface temperature data in polar regions,Time Series,matchup-polar-satellite-data-to-buoy-data,matchup-polar-satellite-data-to-buoy-data,matchup-polar-satellite-data-to-buoy-data/python/,tutorials/matchup-polar-satellite-data-to-buoy-data/python/matchup-polar-satellite-data-to-buoy-data_dh.ipynb,matchup-polar-satellite-data-to-buoy-data/r/,tutorials/matchup-polar-satellite-data-to-buoy-data/r/matchup-polar-satellite-data-to-buoy-data.Rmd,,,"Combine satellite ice surface temperature composites with in situ buoy observations by matching satellite pixels to buoy locations and dates in the Arctic. This tutorial walks through how to query buoy surface temperature records from ERDDAP in tabular format, download polar-projected satellite Ice Surface Temperature (IST) data in NetCDF, and resample the buoy time series to comparable time steps. It then demonstrates how to convert buoy latitude/longitude positions into the satellite’s polar stereographic coordinate system, extract the nearest satellite IST values at each buoy time and location, and merge the two datasets for side-by-side comparison and visualization.",polarbuoy.png::Time series comparison of buoy-measured surface temperature and collocated VIIRS ice surface temperature. ,polarbuoy_r.png::Time series comparison of buoy-measured surface temperature and collocated VIIRS ice surface temperature. ,
Comparing satellite and buoy sea surface temperature observations ,Time Series,matchup-satellite-buoy-data,matchup-satellite-buoy-data,,,matchup-satellite-buoy-data/r/,tutorials/matchup-satellite-buoy-data/r/matchup_satellite_buoy_data.Rmd,,,"This tutorial demonstrates how to match satellite-derived sea surface temperature (SST) with in situ buoy observations to evaluate satellite data accuracy. Using ERDDAP-hosted datasets, the workflow shows how to download and process buoy measurements, extract collocated satellite SST values, and compare the two datasets through statistical analysis and visualization.",,"xyplot-1.png::Daily averaged buoy sea surface temperatures are compared with colocated satellite SST values along the California coast from August 1–10, 2023. | map-1.png::Satellite sea surface temperature fields for July 31, 2023 are shown with overlaid buoy locations colored by observed temperature.",
"Matchup satellite data to ship, glider, or animal tracks",Spatial Analysis & Mapping,matchup-satellite-data-to-ATN-animal-tracks,matchup-satellite-data-to-ATN-animal-tracks,matchup-satellite-data-to-ATN-animal-tracks/python/,tutorials/matchup-satellite-data-to-ATN-animal-tracks/python/satellite_matchups_to_track_locations_xarray_ATN_0731.ipynb,matchup-satellite-data-to-ATN-animal-tracks/r/,tutorials/matchup-satellite-data-to-ATN-animal-tracks/r/matchup-satellite-data-to-ATN_track-locations.Rmd,,,"Extract and analyze satellite-derived environmental variables along moving platforms such as ship tracks, gliders, or animal telemetry paths. This tutorial demonstrates how to load track data defined by latitude, longitude, and time, visualize trajectories on a map, and retrieve colocated satellite observations from ERDDAP for each track position. Using a yellowfin tuna telemetry record as an example, satellite chlorophyll-a data from the ESA Ocean Colour Climate Change Initiative are matched to daily track locations, saved to a tabular format, and visualized to explore spatial and temporal variability along the track.","tunatrack.png::Chlorophyll-a concentrations extracted from satellite observations along a Yellowfin tuna telemetry track, with points colored by matched monthly chlorophyll values and symbols indicating the start and end of the track.",ggplot_track2-1.png::Yellowfin tuna track locations colored by the log of satellite-derived chlorophyll-a values extracted from the ESA OC-CCI monthly dataset.,
Matching satellite chlorophyll to animal telemetry tracks,Spatial Analysis & Mapping,matchup-satellite-data-to-track-locations,matchup-satellite-data-to-track-locations,matchup-satellite-data-to-track-locations/python/,tutorials/matchup-satellite-data-to-track-locations/python/satellite_matchups_to_track_locations_xarray.ipynb,matchup-satellite-data-to-track-locations/r/,tutorials/matchup-satellite-data-to-track-locations/r/matchup-satellite-data-to-track-locations.Rmd,matchup-satellite-data-to-track-locations/matlab/,tutorials/matchup-satellite-data-to-track-locations/matlab/matchup-satellite-data-to-track-locations.md,"This tutorial demonstrates how satellite data can be matched to moving tracks defined by longitude, latitude, and time, such as those from ships, gliders, or animal telemetry. Using a subsampled loggerhead turtle track and the ESA Ocean Colour Climate Change Initiative (OC-CCI) monthly chlorophyll-a dataset (v6.0), the workflow loads track data from a file, visualizes the track and its start/end locations, extracts satellite chlorophyll values at each track point via ERDDAP, saves the matchup results to a CSV file, and maps the satellite-derived chlorophyll patterns along the track.","turtletrack.png::Chlorophyll-a concentrations from the ESA OC-CCI monthly product matched to locations along animal track #25317, with points colored by satellite-derived chlorophyll values and start/end positions indicated along the track.",turtleggplot_track2-1.png::Loggerhead turtle track locations colored by log-transformed ESA OC-CCI monthly chlorophyll-a values extracted from ERDDAP at each subsampled track point (May 2005–Aug 2008).,turtle_chl_log_grn.png::Loggerhead turtle (#25317) track colored by log-transformed monthly chlorophyll-a averaged within ±0.1° of each tag location using ERDDAP matchup requests.
Calculating anomaly and trend with sea ice thickness time series,Time Series,seaice-thickness-climatology,seaice-thickness-climatology,seaice-thickness-climatology/python/,tutorials/seaice-thickness-climatology/python/seaice-thickness-climatology.ipynb,seaice-thickness-climatology/r/,tutorials/seaice-thickness-climatology/r/ice-thickness-climatology.Rmd,,,"This tutorial demonstrates how to analyze variability and long-term change in Arctic sea ice thickness using gridded satellite data. Monthly mean sea ice thickness fields are derived from twice-daily observations accessed through the PolarWatch ERDDAP server, then compared against a multi-year climatological baseline to quantify anomalies. A 15-year reference period (2006–2020) is used to compute historical monthly means, which serve as the basis for anomaly calculations and trend assessment. Long-term trends in monthly sea ice thickness are estimated at each grid cell using the non-parametric Mann–Kendall method, allowing robust slope estimation without assumptions of normality.","seaiceanomalies1.png::Monthly sea ice thickness anomalies for February (left) and September (right) in 2021, calculated as departures from the 2005–2020 climatological mean using Arctic sea ice thickness data from the NOAA CDR Extended Polar Pathfinder dataset. | seaiceanomalies2.png::Spatial distribution of the long-term September sea ice thickness trend across the Arctic, estimated for the 2006–2020 climatological period using a Mann–Kendall trend analysis applied to monthly mean sea ice thickness data.",,
Subset data in polar stereographic projection using a shapefile,Data Access & Subsetting,subset-polar-data-with-shapefile,subset-polar-data-with-shapefile,subset-polar-data-with-shapefile/python/,tutorials/subset-polar-data-with-shapefile/python/subset-polar-data-with-shapefile.ipynb,,,,,"This exercise demonstrates how to subset satellite data provided in a polar stereographic projection using a lake boundary defined in a different coordinate reference system. The workflow includes downloading polar satellite data from PolarWatch ERDDAP, transforming a shapefile to match the satellite projection, and clipping the dataset to the extent of Lake Iliamna in Alaska. The results are visualized to illustrate projection handling and spatial subsetting of polar remote sensing data","polarshp1.png::IMS Snow and Ice Analysis data from PolarWatch for 30 July 2024 shown in its native polar stereographic projection, illustrating categorical surface conditions across the Northern Hemisphere. | polarshp2.png::Subset of the IMS Snow and Ice Analysis clipped to the Lake Iliamna region after transforming the lake shapefile into the satellite data’s polar stereographic projection, demonstrating successful reprojection and spatial subsetting. ",,
